team,pitchers_used,pitcher_age,era,innings_pitched,p_hits,p_runs,earned_runs,homeruns_allowed,walks_allowed,p_strikeouts,saves,hbp,era_plus,whip,hits_per_nine,hr_per_nine,walks_per_nine,so_per_nine,so_walk,p_left_on_base,year
KCR,15,28.0,4.23,1031.2,1018,532,485,95,392,717,38,33,118,1.367,8.9,0.8,3.4,6.3,1.83,801,1994.0
LAD,16,30.0,4.17,1014.0,1041,509,470,90,354,732,20,33,95,1.376,9.2,0.8,3.1,6.5,2.07,818,1994.0
MIL,15,28.3,4.62,1036.0,1071,586,532,127,421,577,23,29,109,1.440,9.3,1.1,3.7,5.0,1.37,799,1994.0
MIN,16,28.1,5.68,1005.0,1197,688,634,153,388,602,29,31,86,1.577,10.7,1.4,3.5,5.4,1.55,804,1994.0
MON,16,26.2,3.56,1036.2,970,454,410,100,288,805,46,38,119,1.214,8.4,0.9,2.5,7.0,2.80,765,1994.0
NYM,18,28.6,4.13,1023.0,1069,526,470,117,332,640,35,21,101,1.370,9.4,1.0,2.9,5.6,1.93,788,1994.0
NYY,17,29.8,4.34,1019.2,1045,534,492,120,398,656,31,21,106,1.415,9.2,1.1,3.5,5.8,1.65,813,1994.0
OAK,20,29.8,4.80,1003.1,979,589,535,128,510,732,23,34,92,1.484,8.8,1.1,4.6,6.6,1.44,824,1994.0
PHI,20,29.3,3.85,1024.1,1028,497,438,98,377,699,30,28,112,1.372,9.0,0.9,3.3,6.1,1.85,868,1994.0
PIT,18,27.2,4.64,1005.2,1094,580,518,117,370,650,24,41,93,1.456,9.8,1.0,3.3,5.8,1.76,796,1994.0
SDP,20,26.8,4.08,1045.2,1008,531,474,99,393,862,27,25,102,1.340,8.7,0.9,3.4,7.4,2.19,835,1994.0
SEA,20,27.1,4.99,984.0,1051,616,546,109,486,763,21,28,97,1.562,9.6,1.0,4.4,7.0,1.57,843,1994.0
SFG,17,28.5,3.99,1025.1,1014,500,454,122,372,655,33,37,100,1.352,8.9,1.1,3.3,5.7,1.76,793,1994.0
STL,18,29.4,5.14,1018.0,1154,621,581,134,355,632,29,38,81,1.482,10.2,1.2,3.1,5.6,1.78,795,1994.0
TEX,22,29.0,5.45,1023.0,1176,697,620,157,394,683,26,32,89,1.535,10.3,1.4,3.5,6.0,1.73,829,1994.0
TOR,17,29.0,4.70,1025.0,1053,579,535,127,482,832,26,32,103,1.498,9.2,1.1,4.2,7.3,1.73,882,1994.0
ATL,20,27.4,3.44,1291.2,1184,540,494,107,436,1087,34,32,123,1.254,8.2,0.7,3.0,7.6,2.49,995,1995.0
BAL,23,29.3,4.31,1267.0,1165,640,607,149,523,930,29,37,111,1.332,8.3,1.1,3.7,6.6,1.78,941,1995.0
BOS,26,29.1,4.39,1292.2,1338,698,631,127,476,888,39,46,111,1.403,9.3,0.9,3.3,6.2,1.87,1024,1995.0
CAL,20,30.7,4.52,1284.1,1310,697,645,163,486,901,42,43,104,1.398,9.2,1.1,3.4,6.3,1.85,1021,1995.0
CHC,21,27.8,4.13,1301.0,1313,671,597,162,518,926,45,34,99,1.407,9.1,1.1,3.6,6.4,1.79,1090,1995.0
CHW,26,27.6,4.85,1284.2,1374,758,693,164,617,892,36,39,93,1.550,9.6,1.1,4.3,6.2,1.45,1122,1995.0
CIN,24,28.3,4.03,1289.1,1270,623,578,131,424,903,38,31,102,1.314,8.9,0.9,3.0,6.3,2.13,954,1995.0
CLE,20,30.6,3.83,1301.0,1261,607,554,135,445,926,50,45,123,1.311,8.7,0.9,3.1,6.4,2.08,1002,1995.0
COL,20,28.6,4.97,1288.1,1443,783,711,160,512,891,43,41,108,1.517,10.1,1.1,3.6,6.2,1.74,1058,1995.0
DET,22,27.8,5.49,1275.0,1509,844,778,170,536,729,38,45,88,1.604,10.7,1.2,3.8,5.1,1.36,1105,1995.0
FLA,27,28.3,4.27,1286.0,1299,673,610,139,562,994,29,46,99,1.447,9.1,1.0,3.9,7.0,1.77,1097,1995.0
HOU,19,27.9,4.06,1320.1,1357,674,596,118,460,1056,32,50,95,1.376,9.2,0.8,3.1,7.2,2.30,1068,1995.0
KCR,21,28.0,4.49,1288.0,1323,691,642,142,503,763,37,38,107,1.418,9.2,1.0,3.5,5.3,1.52,1006,1995.0
LAD,21,27.7,3.66,1295.0,1188,609,526,125,462,1060,37,37,103,1.274,8.3,0.9,3.2,7.4,2.29,987,1995.0
MIL,22,27.3,4.82,1286.0,1391,747,689,146,603,699,31,47,103,1.551,9.7,1.0,4.2,4.9,1.16,1102,1995.0
MIN,22,25.7,5.76,1272.2,1450,889,815,210,533,790,27,36,84,1.558,10.3,1.5,3.8,5.6,1.48,1007,1995.0
MON,21,27.6,4.11,1283.2,1286,638,586,128,416,950,42,59,106,1.326,9.0,0.9,2.9,6.7,2.28,1002,1995.0
NYM,22,27.2,3.88,1291.0,1296,618,556,133,401,901,36,35,104,1.314,9.0,0.9,2.8,6.3,2.25,992,1995.0
NYY,20,28.1,4.56,1284.2,1286,688,651,159,535,908,35,32,102,1.417,9.0,1.1,3.7,6.4,1.70,1033,1995.0
OAK,23,30.9,4.93,1273.0,1320,761,698,153,556,890,34,53,87,1.474,9.3,1.1,3.9,6.3,1.60,1026,1995.0
PHI,26,27.1,4.21,1290.1,1241,658,603,134,538,980,41,55,100,1.379,8.7,0.9,3.8,6.8,1.82,1046,1995.0
PIT,21,26.4,4.70,1275.1,1407,736,666,130,477,871,29,57,91,1.477,9.9,0.9,3.4,6.1,1.83,1056,1995.0
SDP,20,26.6,4.13,1284.2,1242,672,590,142,512,1047,35,51,98,1.365,8.7,1.0,3.6,7.3,2.04,1003,1995.0
SEA,24,28.8,4.50,1289.1,1343,708,644,149,591,1068,39,47,106,1.500,9.4,1.0,4.1,7.5,1.81,1167,1995.0
SFG,25,28.6,4.86,1293.2,1368,776,699,173,505,801,34,56,83,1.448,9.5,1.2,3.5,5.6,1.59,1015,1995.0
STL,21,30.2,4.09,1265.2,1290,658,575,135,445,842,38,40,102,1.371,9.2,1.0,3.2,6.0,1.89,965,1995.0
TEX,22,30.6,4.66,1285.0,1385,720,665,152,514,838,34,36,105,1.478,9.7,1.1,3.6,5.9,1.63,1051,1995.0
TOR,20,28.7,4.88,1292.2,1336,777,701,145,654,894,22,51,97,1.539,9.3,1.0,4.6,6.2,1.37,1118,1995.0
ATL,18,27.9,3.52,1469.0,1372,648,575,120,451,1245,46,19,125,1.241,8.4,0.7,2.8,7.6,2.76,1077,1996.0
BAL,23,28.9,5.14,1468.2,1604,903,839,209,597,1047,44,38,96,1.499,9.8,1.3,3.7,6.4,1.75,1151,1996.0
BOS,23,28.7,4.98,1458.0,1606,921,807,185,722,1165,37,50,101,1.597,9.9,1.1,4.5,7.2,1.61,1338,1996.0
CAL,30,29.1,5.30,1439.0,1546,943,847,219,662,1052,38,84,93,1.534,9.7,1.4,4.1,6.6,1.59,1201,1996.0
CHC,17,28.3,4.36,1456.1,1447,771,705,184,546,1027,34,55,99,1.369,8.9,1.1,3.4,6.3,1.88,1128,1996.0
CHW,22,27.8,4.52,1461.0,1529,794,733,174,616,1039,43,36,105,1.468,9.4,1.1,3.8,6.4,1.69,1228,1996.0
CIN,24,29.2,4.32,1443.0,1447,773,692,167,591,1089,52,42,98,1.412,9.0,1.0,3.7,6.8,1.84,1175,1996.0
CLE,18,30.3,4.34,1452.1,1530,769,700,173,484,1033,46,39,112,1.387,9.5,1.1,3.0,6.4,2.13,1119,1996.0
COL,21,28.8,5.59,1422.2,1597,964,884,198,624,932,34,69,93,1.561,10.1,1.3,3.9,5.9,1.49,1159,1996.0
DET,27,26.7,6.38,1432.2,1699,1103,1015,241,784,957,22,80,80,1.733,10.7,1.5,4.9,6.0,1.22,1312,1996.0
FLA,23,28.0,3.95,1443.0,1386,703,634,113,598,1050,41,57,103,1.375,8.6,0.7,3.7,6.5,1.76,1151,1996.0
HOU,22,28.5,4.37,1447.0,1541,792,702,154,539,1163,35,70,88,1.437,9.6,1.0,3.4,7.2,2.16,1231,1996.0
KCR,19,29.0,4.55,1450.0,1563,786,733,176,460,926,35,56,109,1.395,9.7,1.1,2.9,5.7,2.01,1115,1996.0
LAD,15,28.2,3.46,1466.1,1378,652,564,125,534,1212,50,39,112,1.304,8.5,0.8,3.3,7.4,2.27,1172,1996.0
MIL,24,27.2,5.14,1447.1,1570,899,826,213,635,846,42,57,101,1.523,9.8,1.3,3.9,5.3,1.33,1196,1996.0
MIN,18,25.8,5.28,1439.2,1561,900,844,233,581,959,31,41,97,1.488,9.8,1.5,3.6,6.0,1.65,1136,1996.0
MON,18,27.5,3.78,1441.1,1353,668,605,152,482,1206,43,56,115,1.273,8.4,0.9,3.0,7.5,2.50,1127,1996.0
NYM,17,27.4,4.22,1440.0,1517,779,675,159,532,999,41,44,96,1.423,9.5,1.0,3.3,6.2,1.88,1189,1996.0
NYY,24,29.3,4.65,1440.0,1469,787,744,143,610,1139,52,49,108,1.444,9.2,0.9,3.8,7.1,1.87,1182,1996.0
OAK,20,27.1,5.20,1456.1,1638,900,841,205,644,884,34,52,98,1.567,10.1,1.3,4.0,5.5,1.37,1236,1996.0
PHI,25,27.7,4.48,1423.1,1463,790,708,160,510,1044,42,35,96,1.386,9.3,1.0,3.2,6.6,2.05,1078,1996.0
PIT,25,27.9,4.61,1453.1,1602,833,744,183,479,1044,37,50,95,1.432,9.9,1.1,3.0,6.5,2.18,1145,1996.0
SDP,19,28.7,3.72,1489.0,1395,682,616,138,506,1194,47,45,107,1.277,8.4,0.8,3.1,7.2,2.36,1143,1996.0
SEA,25,27.8,5.21,1431.2,1562,895,829,216,605,1000,34,60,95,1.514,9.8,1.4,3.8,6.3,1.65,1161,1996.0
SFG,20,28.4,4.71,1442.1,1520,862,755,194,570,997,35,67,86,1.449,9.5,1.2,3.6,6.2,1.75,1141,1996.0
STL,18,30.9,3.97,1452.1,1380,706,641,173,539,1050,43,35,106,1.321,8.6,1.1,3.3,6.5,1.95,1121,1996.0
TEX,17,30.5,4.65,1449.1,1569,799,749,168,582,976,43,43,113,1.484,9.7,1.0,3.6,6.1,1.68,1211,1996.0
TOR,20,28.3,4.57,1445.2,1476,809,734,187,610,1033,35,36,110,1.443,9.2,1.2,3.8,6.4,1.69,1125,1996.0
ANA,21,28.3,4.52,1454.2,1506,794,730,202,605,1050,39,54,104,1.451,9.3,1.2,3.7,6.5,1.74,1207,1997.0
ATL,17,28.5,3.18,1465.2,1319,581,518,111,450,1196,37,31,131,1.207,8.1,0.7,2.8,7.3,2.66,1079,1997.0
BAL,17,30.7,3.91,1461.0,1404,681,635,164,563,1139,59,30,113,1.346,8.6,1.0,3.5,7.0,2.02,1155,1997.0
BOS,25,27.8,4.85,1451.2,1569,857,782,149,611,987,40,70,97,1.502,9.7,0.9,3.8,6.1,1.62,1228,1997.0
CHC,21,28.2,4.44,1429.0,1451,759,705,185,590,1072,37,43,97,1.428,9.1,1.2,3.7,6.8,1.82,1180,1997.0
CHW,22,29.4,4.73,1422.1,1505,833,748,175,575,961,52,32,93,1.462,9.5,1.1,3.6,6.1,1.67,1162,1997.0
CIN,25,29.6,4.41,1449.0,1408,764,710,173,558,1159,49,77,98,1.357,8.7,1.1,3.5,7.2,2.08,1153,1997.0
CLE,21,29.7,4.73,1425.2,1528,815,749,181,575,1036,39,51,99,1.475,9.6,1.1,3.6,6.5,1.80,1168,1997.0
COL,23,27.9,5.25,1432.2,1697,908,836,196,566,870,38,67,99,1.580,10.7,1.2,3.6,5.5,1.54,1211,1997.0
DET,20,27.5,4.56,1445.2,1476,790,732,178,552,982,42,43,101,1.403,9.2,1.1,3.4,6.1,1.78,1119,1997.0
FLA,20,27.5,3.83,1446.2,1353,669,615,131,639,1188,39,63,106,1.377,8.4,0.8,4.0,7.4,1.86,1214,1997.0
HOU,18,27.0,3.66,1459.0,1379,660,594,134,511,1138,37,52,109,1.295,8.5,0.8,3.2,7.0,2.23,1129,1997.0
KCR,25,27.6,4.70,1443.0,1530,820,753,186,531,961,29,54,100,1.428,9.5,1.2,3.3,6.0,1.81,1128,1997.0
LAD,16,28.8,3.62,1459.1,1325,645,587,163,546,1232,45,45,107,1.282,8.2,1.0,3.4,7.6,2.26,1168,1997.0
MIL,21,28.3,4.22,1427.1,1419,742,669,177,542,1016,44,61,111,1.374,8.9,1.1,3.4,6.4,1.87,1096,1997.0
MIN,18,28.1,5.00,1434.0,1596,861,796,187,495,908,30,33,92,1.458,10.0,1.2,3.1,5.7,1.83,1087,1997.0
MON,21,26.4,4.14,1447.0,1365,740,665,149,557,1138,37,63,101,1.328,8.5,0.9,3.5,7.1,2.04,1108,1997.0
NYM,21,29.4,3.95,1459.1,1452,709,640,160,504,982,49,47,104,1.340,9.0,1.0,3.1,6.1,1.95,1123,1997.0
NYY,18,29.6,3.84,1467.2,1463,688,626,144,532,1165,51,45,117,1.359,9.0,0.9,3.3,7.1,2.19,1188,1997.0
OAK,26,27.8,5.48,1445.1,1734,946,880,197,642,953,38,64,81,1.644,10.8,1.2,4.0,5.9,1.48,1318,1997.0
PHI,23,27.9,4.85,1420.1,1441,840,765,171,616,1209,35,58,88,1.448,9.1,1.1,3.9,7.7,1.96,1127,1997.0
PIT,21,25.7,4.28,1436.0,1503,760,683,143,560,1080,41,64,102,1.437,9.4,0.9,3.5,6.8,1.93,1223,1997.0
SDP,21,28.1,4.98,1450.0,1581,891,802,172,596,1059,43,61,79,1.501,9.8,1.1,3.7,6.6,1.78,1188,1997.0
SEA,24,30.4,4.78,1447.2,1500,833,769,192,598,1207,38,66,94,1.449,9.3,1.2,3.7,7.5,2.02,1192,1997.0
SFG,23,28.9,4.39,1446.0,1494,793,706,160,578,1044,45,39,94,1.433,9.3,1.0,3.6,6.5,1.81,1153,1997.0
STL,25,29.5,3.88,1455.2,1422,708,627,124,536,1130,39,59,108,1.345,8.8,0.8,3.3,7.0,2.11,1147,1997.0
TEX,20,29.7,4.69,1429.2,1598,823,745,169,541,925,33,38,103,1.496,10.1,1.1,3.4,5.8,1.71,1197,1997.0
TOR,20,28.8,3.92,1442.2,1453,694,628,167,497,1150,34,39,116,1.352,9.1,1.0,3.1,7.2,2.31,1127,1997.0
ANA,19,29.8,4.49,1444.0,1481,783,720,164,630,1091,52,47,106,1.462,9.2,1.0,3.9,6.8,1.73,1211,1998.0
ARI,25,27.4,4.63,1432.1,1463,812,737,188,489,908,37,41,91,1.363,9.2,1.2,3.1,5.7,1.86,1042,1998.0
ATL,19,29.5,3.25,1438.2,1291,581,520,117,467,1232,45,35,128,1.222,8.1,0.7,2.9,7.7,2.64,1070,1998.0
BAL,22,30.5,4.74,1431.1,1505,785,754,169,535,1065,37,46,96,1.425,9.5,1.1,3.4,6.7,1.99,1134,1998.0
BOS,23,29.5,4.18,1436.0,1406,729,667,168,504,1025,53,53,113,1.330,8.8,1.1,3.2,6.4,2.03,1104,1998.0
CHC,25,28.8,4.47,1477.1,1528,792,733,180,575,1207,56,48,98,1.424,9.3,1.1,3.5,7.4,2.10,1248,1998.0
CHW,20,26.4,5.22,1438.2,1569,931,835,211,580,911,42,54,88,1.494,9.8,1.3,3.6,5.7,1.57,1121,1998.0
CIN,24,28.0,4.44,1441.1,1400,760,711,170,573,1098,42,52,98,1.369,8.7,1.1,3.6,6.9,1.92,1122,1998.0
CLE,23,29.8,4.44,1460.0,1552,779,721,171,563,1037,47,67,107,1.449,9.6,1.1,3.5,6.4,1.84,1234,1998.0
COL,19,27.8,4.99,1432.2,1583,855,794,174,562,951,36,63,104,1.497,9.9,1.1,3.5,6.0,1.69,1124,1998.0
DET,20,26.6,4.93,1446.1,1551,863,792,185,595,947,32,40,96,1.484,9.7,1.2,3.7,5.9,1.59,1125,1998.0
FLA,22,24.5,5.18,1449.2,1617,923,834,182,715,1016,24,58,78,1.609,10.0,1.1,4.4,6.3,1.42,1281,1998.0
HOU,18,27.8,3.50,1471.1,1435,620,572,147,465,1187,44,42,118,1.291,8.8,0.9,2.8,7.3,2.55,1180,1998.0
KCR,22,28.8,5.15,1436.1,1590,899,822,196,568,999,46,60,92,1.502,10.0,1.2,3.6,6.3,1.76,1161,1998.0
LAD,25,27.6,3.81,1447.1,1332,678,612,135,587,1178,47,56,106,1.326,8.3,0.8,3.7,7.3,2.01,1148,1998.0
MIL,23,28.1,4.63,1451.0,1538,812,746,188,550,1063,39,61,93,1.439,9.5,1.2,3.4,6.6,1.93,1160,1998.0
MIN,17,28.7,4.75,1447.2,1622,818,764,180,457,952,42,44,100,1.436,10.1,1.1,2.8,5.9,2.08,1161,1998.0
MON,19,25.7,4.38,1427.0,1448,783,695,156,533,1017,39,57,96,1.388,9.1,1.0,3.4,6.4,1.91,1143,1998.0
NYM,20,31.7,3.76,1458.0,1381,645,609,152,532,1129,46,68,112,1.312,8.5,0.9,3.3,7.0,2.12,1142,1998.0
NYY,19,30.2,3.82,1456.2,1357,656,619,156,466,1080,48,68,116,1.251,8.4,1.0,2.9,6.7,2.32,1074,1998.0
OAK,19,31.0,4.81,1434.0,1555,866,766,179,529,922,39,56,94,1.453,9.8,1.1,3.3,5.8,1.74,1142,1998.0
PHI,21,29.3,4.64,1463.0,1476,808,754,188,544,1176,32,54,95,1.381,9.1,1.2,3.3,7.2,2.16,1142,1998.0
PIT,17,26.5,3.91,1449.0,1433,718,629,147,530,1112,41,31,112,1.355,8.9,0.9,3.3,6.9,2.10,1152,1998.0
SDP,21,29.8,3.63,1454.2,1384,635,587,139,501,1217,59,49,108,1.296,8.6,0.9,3.1,7.5,2.43,1152,1998.0
SEA,20,31.3,4.93,1424.1,1530,855,781,196,528,1156,31,60,93,1.445,9.7,1.2,3.3,7.3,2.19,1143,1998.0
SFG,17,31.8,4.18,1477.0,1457,739,686,171,562,1089,44,52,97,1.367,8.9,1.0,3.4,6.6,1.94,1192,1998.0
STL,23,28.9,4.31,1469.2,1513,782,703,151,558,972,44,54,99,1.409,9.3,0.9,3.4,6.0,1.74,1201,1998.0
TBD,22,27.9,4.35,1443.0,1425,751,698,171,643,1008,28,81,110,1.433,8.9,1.1,4.0,6.3,1.57,1189,1998.0
TEX,21,29.9,4.99,1431.1,1624,871,794,164,519,994,46,45,96,1.497,10.2,1.0,3.3,6.3,1.92,1192,1998.0
TOR,20,30.3,4.28,1465.0,1443,768,697,169,587,1154,47,45,108,1.386,8.9,1.0,3.6,7.1,1.97,1189,1998.0
ANA,20,31.5,4.79,1431.1,1472,826,762,177,624,877,37,56,101,1.464,9.3,1.1,3.9,5.5,1.41,1138,1999.0
ARI,20,30.6,3.77,1467.1,1387,676,615,176,543,1198,42,49,122,1.315,8.5,1.1,3.3,7.3,2.21,1155,1999.0
ATL,22,28.6,3.63,1471.0,1398,661,593,142,507,1197,45,26,123,1.295,8.6,0.9,3.1,7.3,2.36,1144,1999.0
BAL,21,30.1,4.77,1435.0,1468,815,760,198,647,982,33,49,97,1.474,9.2,1.2,4.1,6.2,1.52,1139,1999.0
BOS,25,30.1,4.00,1436.2,1396,718,638,160,469,1131,50,55,126,1.298,8.7,1.0,2.9,7.1,2.41,1092,1999.0
CHC,25,28.8,5.27,1430.2,1619,920,837,221,529,980,32,27,86,1.501,10.2,1.4,3.3,6.2,1.85,1147,1999.0
CHW,21,26.4,4.92,1438.1,1608,870,786,210,596,968,39,61,100,1.532,10.1,1.3,3.7,6.1,1.62,1267,1999.0
CIN,17,28.0,3.98,1462.0,1309,711,647,190,636,1081,55,45,117,1.330,8.1,1.2,3.9,6.7,1.70,1124,1999.0
CLE,25,30.6,4.89,1450.1,1503,860,788,197,634,1120,46,54,102,1.473,9.3,1.2,3.9,7.0,1.77,1163,1999.0
COL,18,28.9,6.01,1429.0,1700,1028,955,237,737,1032,33,60,97,1.705,10.7,1.5,4.6,6.5,1.40,1259,1999.0
DET,21,27.6,5.17,1421.0,1528,882,817,209,583,976,33,70,94,1.486,9.7,1.3,3.7,6.2,1.67,1141,1999.0
FLA,21,26.0,4.90,1435.2,1560,852,781,171,655,943,33,54,88,1.543,9.8,1.1,4.1,5.9,1.44,1230,1999.0
HOU,15,27.4,3.83,1458.2,1485,675,620,128,478,1204,48,40,117,1.346,9.2,0.8,2.9,7.4,2.52,1148,1999.0
KCR,27,26.9,5.35,1420.2,1607,921,844,202,643,831,29,68,93,1.584,10.2,1.3,4.1,5.3,1.29,1204,1999.0
LAD,21,28.6,4.45,1453.0,1438,787,718,192,594,1077,37,62,97,1.398,8.9,1.2,3.7,6.7,1.81,1171,1999.0
MIL,24,28.2,5.07,1442.2,1618,886,813,213,616,987,40,51,89,1.549,10.1,1.3,3.8,6.2,1.60,1263,1999.0
MIN,18,26.3,5.00,1423.1,1591,845,791,208,487,927,34,28,101,1.460,10.1,1.3,3.1,5.9,1.90,1101,1999.0
MON,21,25.5,4.69,1434.1,1505,853,748,152,572,1043,44,60,96,1.448,9.4,1.0,3.6,6.5,1.82,1165,1999.0
NYM,23,32.7,4.27,1456.2,1372,711,691,167,617,1172,49,52,104,1.365,8.5,1.0,3.8,7.2,1.90,1151,1999.0
NYY,18,31.2,4.13,1439.2,1402,731,661,158,581,1111,50,57,113,1.377,8.8,1.0,3.6,6.9,1.91,1183,1999.0
OAK,23,31.4,4.69,1438.1,1537,846,750,160,569,967,48,54,97,1.464,9.6,1.0,3.6,6.1,1.70,1148,1999.0
PHI,22,28.3,4.92,1438.1,1494,846,787,212,627,1030,32,58,98,1.475,9.3,1.3,3.9,6.4,1.64,1187,1999.0
PIT,21,26.8,4.33,1433.1,1444,782,689,160,633,1083,34,51,107,1.449,9.1,1.0,4.0,6.8,1.71,1190,1999.0
SDP,20,28.8,4.47,1420.1,1454,781,705,193,529,1078,43,35,95,1.396,9.2,1.2,3.4,6.8,2.04,1105,1999.0
SEA,28,28.2,5.24,1433.2,1613,905,834,191,684,980,40,71,95,1.602,10.1,1.2,4.3,6.2,1.43,1265,1999.0
SFG,16,28.6,4.71,1456.1,1486,831,762,194,655,1076,42,51,92,1.470,9.2,1.2,4.0,6.6,1.64,1230,1999.0
STL,22,28.6,4.74,1445.1,1519,838,761,161,667,1025,38,63,97,1.512,9.5,1.0,4.2,6.4,1.54,1253,1999.0
TBD,24,29.6,5.06,1433.0,1606,913,805,172,695,1055,45,79,98,1.606,10.1,1.1,4.4,6.6,1.52,1270,1999.0
TEX,20,30.1,5.07,1436.1,1626,859,809,186,509,979,47,40,100,1.486,10.2,1.2,3.2,6.1,1.92,1145,1999.0
TOR,22,27.9,4.92,1439.0,1582,862,787,191,575,1009,39,53,99,1.499,9.9,1.2,3.6,6.3,1.75,1189,1999.0
ANA,25,28.9,5.00,1448.0,1534,869,805,228,662,846,46,36,101,1.517,9.5,1.4,4.1,5.3,1.28,1188,2000.0
ARI,17,31.6,4.35,1443.2,1441,754,698,190,500,1220,38,42,110,1.344,9.0,1.2,3.1,7.6,2.44,1073,2000.0
ATL,22,31.4,4.05,1440.1,1428,714,648,165,484,1093,53,37,114,1.327,8.9,1.0,3.0,6.8,2.26,1130,2000.0
BAL,22,29.1,5.37,1433.1,1547,913,855,202,665,1017,33,36,88,1.543,9.7,1.3,4.2,6.4,1.53,1220,2000.0
BOS,24,30.2,4.23,1452.2,1433,745,683,173,498,1121,46,58,120,1.329,8.9,1.1,3.1,6.9,2.25,1122,2000.0
CHC,24,28.4,5.25,1454.2,1505,904,849,231,658,1143,39,62,87,1.487,9.3,1.4,4.1,7.1,1.74,1183,2000.0
CHW,22,26.5,4.66,1450.1,1509,839,751,195,614,1037,43,54,108,1.464,9.4,1.2,3.8,6.4,1.69,1147,2000.0
CIN,21,28.5,4.33,1456.1,1446,765,700,190,659,1015,42,43,110,1.445,8.9,1.2,4.1,6.3,1.54,1228,2000.0
CLE,32,30.2,4.84,1442.1,1511,816,775,173,666,1213,34,42,102,1.509,9.4,1.1,4.2,7.6,1.82,1237,2000.0
COL,25,29.9,5.26,1430.0,1568,897,835,221,588,1001,33,72,110,1.508,9.9,1.4,3.7,6.3,1.70,1153,2000.0
DET,23,29.1,4.71,1443.1,1583,827,755,177,496,978,44,47,99,1.440,9.9,1.1,3.1,6.1,1.97,1138,2000.0
FLA,18,26.7,4.59,1429.2,1477,797,729,169,650,1051,48,43,96,1.488,9.3,1.1,4.1,6.6,1.62,1221,2000.0
HOU,23,28.0,5.42,1437.2,1596,944,865,234,598,1064,30,60,92,1.526,10.0,1.5,3.7,6.7,1.78,1198,2000.0
KCR,24,25.8,5.48,1439.1,1585,930,876,239,693,927,29,42,93,1.583,9.9,1.5,4.3,5.8,1.34,1195,2000.0
LAD,21,29.5,4.10,1445.0,1379,729,659,176,600,1154,36,75,106,1.370,8.6,1.1,3.7,7.2,1.92,1185,2000.0
MIL,24,27.4,4.63,1466.1,1501,826,755,174,728,967,29,65,99,1.520,9.2,1.1,4.5,5.9,1.33,1272,2000.0
MIN,17,26.6,5.14,1432.2,1634,880,819,212,516,1042,35,35,101,1.501,10.3,1.3,3.2,6.5,2.02,1158,2000.0
MON,27,26.1,5.13,1424.2,1575,902,812,181,579,1011,39,60,94,1.512,9.9,1.1,3.7,6.4,1.75,1164,2000.0
NYM,20,31.0,4.16,1450.0,1398,738,670,164,574,1164,49,60,107,1.360,8.7,1.0,3.6,7.2,2.03,1188,2000.0
NYY,22,32.0,4.76,1424.1,1458,814,753,177,577,1040,40,52,102,1.429,9.2,1.1,3.6,6.6,1.80,1169,2000.0
OAK,21,29.5,4.58,1435.1,1535,813,730,158,615,963,43,48,103,1.498,9.6,1.0,3.9,6.0,1.57,1236,2000.0
PHI,27,28.7,4.77,1438.2,1458,830,763,201,640,1123,34,42,98,1.458,9.1,1.3,4.0,7.0,1.75,1168,2000.0
PIT,24,27.1,4.94,1449.0,1554,888,795,163,711,1070,27,60,94,1.563,9.7,1.0,4.4,6.6,1.50,1279,2000.0
SDP,29,27.5,4.52,1459.1,1443,815,733,191,649,1071,46,68,95,1.434,8.9,1.2,4.0,6.6,1.65,1221,2000.0
SEA,16,29.3,4.49,1441.2,1442,780,720,167,634,998,44,38,101,1.440,9.0,1.0,4.0,6.2,1.57,1164,2000.0
SFG,17,28.5,4.21,1444.1,1452,747,675,151,623,1076,47,41,102,1.437,9.0,0.9,3.9,6.7,1.73,1190,2000.0
STL,24,29.3,4.38,1433.2,1403,771,698,196,606,1100,37,62,107,1.401,8.8,1.2,3.8,6.9,1.82,1128,2000.0
TBD,24,29.3,4.86,1431.1,1553,842,773,198,533,955,38,66,102,1.457,9.8,1.2,3.4,6.0,1.79,1147,2000.0
TEX,19,28.7,5.52,1429.0,1683,974,876,202,661,918,39,63,91,1.640,10.6,1.3,4.2,5.8,1.39,1298,2000.0
TOR,22,28.9,5.14,1437.1,1615,908,821,195,560,978,37,64,98,1.513,10.1,1.2,3.5,6.1,1.75,1157,2000.0
ANA,18,28.9,4.20,1437.2,1452,730,671,168,525,947,43,64,107,1.375,9.1,1.1,3.3,5.9,1.80,1152,2001.0
ARI,22,30.9,3.87,1459.2,1352,677,627,195,461,1297,34,59,121,1.242,8.3,1.2,2.8,8.0,2.81,1034,2001.0
ATL,23,31.1,3.59,1447.1,1363,643,578,153,499,1133,41,33,124,1.287,8.5,1.0,3.1,7.0,2.27,1104,2001.0
BAL,22,27.6,4.67,1432.1,1504,829,744,194,528,938,31,74,92,1.419,9.5,1.2,3.3,5.9,1.78,1147,2001.0
BOS,23,30.9,4.15,1448.0,1412,745,667,146,544,1259,48,93,108,1.351,8.8,0.9,3.4,7.8,2.31,1183,2001.0
CHC,20,29.8,4.03,1437.0,1357,701,643,164,550,1344,41,50,103,1.327,8.5,1.0,3.4,8.4,2.44,1147,2001.0
CHW,21,26.2,4.55,1433.1,1465,795,725,181,500,921,51,88,102,1.371,9.2,1.1,3.1,5.8,1.84,1105,2001.0
